Matrix Size,Granularity,Kill Probability,Total Time (s),Multiplication Time (s),Workers Killed
64,4,0.0,70.162,47.352414,0
64,4,0.5,74.272,56.553093,12
64,8,0.0,26.159,20.196040,0
64,8,0.5,23.050,16.334093,4
64,16,0.0,24.977,24.964521,0
64,16,0.5,18.929,18.917181,8
64,32,0.0,29.330,29.317937,0
64,32,0.5,10.042,10.028274,2
64,64,0.0,14.397,14.367057,0
64,64,0.5,20.137,20.122248,6
128,4,0.0,160.106,160.076687,0
128,4,0.5,46.760,46.726768,15
128,8,0.0,68.613,68.582535,0
128,8,0.5,5.232,3.114138,2
128,16,0.0,1.815,1.510048,0
128,16,0.5,1.802,1.492352,0
128,32,0.0,1.121,1.095033,0
128,32,0.5,1.106,1.080973,0
128,64,0.0,1.196,1.084384,0
128,64,0.5,1.200,1.094695,0
256,4,0.0,140.796,140.736910,0
256,4,0.5,14.545,14.485281,6
256,8,0.0,363.075,363.019944,0
256,8,0.5,21.472,21.415110,11
256,16,0.0,12.289,11.389778,0
256,16,0.5,22.175,22.122689,10
256,32,0.0,4.877,4.828961,0
256,32,0.5,4.780,4.730805,1
256,64,0.0,3.972,3.924543,0
256,64,0.5,3.944,3.896802,1
